id,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC_ratio,logFC_max_min,logFC_z_score
84077,0.188408708,-2.7382276080000003,0.637901201,0.5238755620000001,0.6736446979999999,-6.808579116000001,0.02274200539316771,0.022742005393167532,-0.5716953000500539
101928944,0.046152415,-4.577587482,0.6378647239999999,0.523899287,0.6736446979999999,-6.808602231,0.005570859659192156,0.005570859659191971,-0.7605631516094685
317716,0.05804394,-4.505856307,0.63781879,0.5239291620000001,0.673649415,-6.808631335,0.007006234534131527,0.007006234534131343,-0.7447752610975523
100313835,0.05995819,-4.564387503,0.637652905,0.524037061,0.6737272540000001,-6.808736425,0.007237295424501156,0.007237295424500971,-0.7422337898049775
102723838,0.045055422000000005,-4.578636339,0.637645127,0.524042121,0.6737272540000001,-6.808741352,0.005438446348856907,0.005438446348856723,-0.7620195842685545
1796,0.15079284199999998,3.548534669,0.637602888,0.524069597,0.673727848,-6.8087681060000005,0.018201555875087715,0.018201555875087535,-0.6216363441061283
101928536,0.044124582,-4.549213958999999,0.637563833,0.524095003,0.673727848,-6.808792842000001,0.005326088653053504,0.0053260886530533185,-0.7632554223973154
147837,0.12406765800000001,1.321172617,0.6374534270000001,0.524166826,0.6737864809999999,-6.80886276,0.014975673774875029,0.014975673774874847,-0.6571182758939195
401285,0.09843044,-4.319267321,0.637116473,0.52438606,0.6739804309999999,-6.809076074,0.011881115374624142,0.011881115374623958,-0.691155759800662
100616493,0.019669673000000002,-4.602908163,0.637110749,0.524389784,0.6739804309999999,-6.8090796970000005,0.002374241690823788,0.0023742416908236023,-0.7957232030874181
27036,0.249361175,-0.646523979,0.637100632,0.524396368,0.6739804309999999,-6.809086099999999,0.030099315721100518,0.03009931572110034,-0.49077120701512483
1358,0.19850490399999998,-3.3290164030000002,0.636977782,0.524476311,0.6740423190000001,-6.809163842,0.023960673820544634,0.023960673820544454,-0.5582909942915539
445577,0.10949147199999999,-4.265701431,0.636946045,0.524496964,0.6740423190000001,-6.809183922999999,0.013216245008855276,0.013216245008855093,-0.676470480817117
