Entrez.Gene,adj.P.Val,P.Value,logFC,ID,logFC_max_min
114825,0.879243,0.716,0.0667025,8115580,0.01015522491520808
114824,0.8501040000000001,0.6629999999999999,-0.0755,8175763,0.011495518073390476
114823,0.48395600000000005,0.187,0.4573975,8031176,0.06967734318017783
114822,0.820224,0.611,0.08013250000000001,8148621,0.012201276306443045
114821,0.183693,0.0271,1.1815875,8124594,0.18000719850545316
114819,0.996375,0.9890000000000001,0.0018275,7912784,0.00027156266603695615
114818,0.47105,0.17600000000000002,0.34556,8040490,0.052638975907859126
114817,0.172573,0.0239,-0.8179274999999999,7985416,0.1246038441542613
114815,0.546668,0.245,0.315835,7936249,0.04811039231854719
114814,0.834849,0.636,0.0717825,7919208,0.010929159469748186
114805,0.7415149999999999,0.483,-0.5763825,8045776,0.08780462722977517
114804,0.157254,0.0196,0.8134,8018652,0.12391408259999354
114803,0.327317,0.082,0.38839250000000003,7916592,0.059164478232138475
114801,0.035078,0.00116,-1.0687825,8122038,0.16282143326433177
114800,0.7859999999999999,0.551,-0.10844000000000001,8042079,0.01651390473216037
114799,0.044805000000000005,0.0017800000000000001,1.443115,8022473,0.21985073575200575
114798,0.9683350000000001,0.912,-0.03936,7972231,0.005989613584989021
114795,0.033020999999999995,0.00103,-0.7753025,7959807,0.11810995431424715
114794,0.8272370000000001,0.623,0.235525,8075921,0.035875218288012586
114793,0.9126860000000001,0.784,-0.241975,8045736,0.036857871413363705
114792,0.805769,0.585,-0.10128999999999999,8121193,0.015424607081577347
114791,0.301076,0.0698,0.274985,7981798,0.04188692252465678
114790,0.091,0.00688,0.48461000000000004,8048647,0.07382314909856812
114789,0.394405,0.121,-0.3151575,8158147,0.04800717565305489
114788,0.22219499999999998,0.0394,0.34700749999999997,8152376,0.052859501551106525
114787,0.12893,0.0134,0.56663,8115941,0.08631884046931208
114786,0.670384,0.387,0.1603,8146475,0.024414740558626878
114785,0.207846,0.0345,0.333955,7956470,0.05087096202883592
114784,0.7703260000000001,0.526,-0.089385,7914667,0.013610888406026178
114783,0.8909950000000001,0.741,-0.064455,8038093,0.009812819814552787
114781,0.126603,0.0129,-0.492875,8126121,0.07508231624291338
114780,0.9387719999999999,0.841,0.0319225,8003007,0.004856515504400039
114771,0.474037,0.179,0.200165,7920220,0.030488146270583823
114770,0.991959,0.978,-0.0061625,8035069,0.0009319969758659631
114769,0.848986,0.6609999999999999,0.1753875,7951408,0.026713310950678814
114757,0.7682479999999999,0.523,-0.602625,8018754,0.09180265430605836
114659,0.8605780000000001,0.68,0.10054249999999999,8006336,0.015310725963561849
114625,0.707925,0.434,-0.1794925,7900609,0.027338704916503052
114609,0.826516,0.622,-0.1762475,7945086,0.026844331367392296
114599,0.9960829999999999,0.986,-0.00281,7942594,0.00042124587466602174
114571,0.312044,0.0748,-0.3151325,7940749,0.048003366920010886
114569,0.006339,3.85e-05,1.2813525,8148040,0.19520632859082587
114548,0.9559479999999999,0.882,0.052820000000000006,7911178,0.00804023545587678
114327,0.11333199999999999,0.0104,1.5758,8120222,0.24006520550971322
114294,0.9583149999999999,0.887,-0.04077,7984103,0.006204426128670428
114134,0.037299,0.0012699999999999999,-0.706905,7962327,0.1076896415791769
114132,0.986923,0.963,-0.0145125,8038505,0.0022041138125608204
114131,0.7227899999999999,0.45399999999999996,0.1920425,7925950,0.029250688904589334
114088,0.34048,0.089,-0.28738,7979108,0.04377529236787029
114049,0.9391639999999999,0.841,-0.0480825,8133345,0.007318480544039428
114044,0.094025,0.007359999999999999,0.44987,8069332,0.06853053366063046
114043,0.745761,0.489,0.13313,8069135,0.020275409486411395
